hour,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,raining
19,27.58,26.9,28.0,1006.0,84,1.54,190,True
10,29.06,29.0,29.1,1007.0,74,8.2,260,True
17,27.06,27.0,27.1,1008.1,94,3.1,230,True
2,26.71,26.71,26.71,1008.0,83,1.74,313,True
1,26.0,26.0,26.0,1008.1,94,2.6,50,True
8,26.98,26.98,26.98,1009.0,86,1.22,54,True
0,25.15,25.0,25.3,1009.1,94,2.6,290,True
17,28.66,28.1,29.0,1007.0,79,6.69,290,True
23,26.0,26.0,26.0,1009.1,94,2.07,344,True
19,25.0,25.0,25.0,1004.6,93,2.1,320,True
16,25.68,25.68,25.68,1008.0,89,2.11,273,True
22,24.0,24.0,24.0,1007.3,98,2.1,50,True
3,25.4,25.4,25.4,1010.2,93,1.5,340,True
20,25.72,25.72,25.72,1011.0,91,6.35,289,True
19,26.88,26.8,27.0,1009.1,88,3.6,90,True
12,25.85,25.85,25.85,1010.0,88,1.29,71,True
9,28.9,28.7,29.0,1008.0,89,1.5,350,True
1,25.2,25.2,25.2,1010.9,85,2.1,10,True
11,26.5,26.5,26.5,1006.6,82,1.5,20,True
21,26.13,26.13,26.13,1011.0,89,3.43,101,True
15,26.73,26.73,26.73,1012.0,87,0.85,312,True
21,25.4,25.4,25.4,1009.4,93,6.2,300,True
10,26.9,26.9,26.9,1011.0,80,4.37,111,True
20,26.4,26.4,26.4,1010.2,92,4.6,110,True
23,26.4,26.4,26.4,1004.7,90,2.6,320,True
21,26.57,26.57,26.57,1012.0,82,7.97,97,True
0,26.6,26.6,26.6,1011.9,90,3.1,90,True
14,26.64,26.4,27.0,1010.2,88,1.5,360,True
14,25.16,25.16,25.16,1015.0,90,5.88,108,True
11,27.07,27.07,27.07,1011.0,83,3.1,252,True
19,26.83,26.83,26.83,1009.0,84,0.41,277,True
14,25.12,25.0,25.2,1011.9,94,1.0,90,True
5,26.69,26.69,26.69,1012.0,86,6.43,133,True
15,25.89,25.89,25.89,1010.0,90,5.16,113,True
10,28.08,28.08,28.08,1008.0,82,4.62,113,True
21,26.07,26.07,26.07,1010.0,86,6.99,282,True
18,27.4,27.0,27.8,1007.1,88,5.7,280,True
1,26.69,26.69,26.69,1009.0,85,4.5,279,True
11,25.8,25.8,25.8,1008.0,89,2.79,50,True
21,24.13,24.0,24.4,1008.0,94,2.1,280,True
16,25.7,25.7,25.7,1013.0,84,7.51,117,True
2,28.88,28.8,29.0,1013.0,83,3.6,270,True
0,25.84,25.84,25.84,1010.0,87,1.94,118,True
22,25.76,25.6,26.0,1008.1,94,1.5,270,True
22,25.89,25.7,26.0,1009.0,94,1.54,110,True
15,26.1,26.1,26.1,1010.0,88,2.22,96,True
0,27.0,27.0,27.0,1009.0,84,5.66,300,True
10,26.1,26.1,26.1,1007.0,90,3.65,281,True
13,24.74,24.74,24.74,1013.0,89,5.62,123,True
23,26.23,26.0,26.6,1003.0,89,11.32,280,True
9,27.11,27.11,27.11,1005.0,83,1.87,43,True
11,28.3,28.0,28.5,1010.0,88,3.1,110,True
13,27.04,27.04,27.04,1010.0,88,2.89,128,True
20,25.72,25.72,25.72,1010.0,88,1.39,212,True
23,24.65,24.0,25.0,1011.0,94,2.0,320,True
14,27.25,27.25,27.25,1010.0,87,3.96,112,True
10,25.87,25.87,25.87,1008.0,90,8.02,274,True
19,26.9,26.9,26.9,1006.0,82,5.75,288,True
15,25.61,25.61,25.61,1012.0,89,6.04,264,True
18,26.73,26.2,27.0,1009.0,89,6.69,270,True
3,25.5,25.5,25.5,1007.1,94,3.1,270,True
17,26.27,26.27,26.27,1008.0,90,4.82,275,True
17,26.95,26.95,26.95,1011.0,88,3.84,98,True
21,24.13,24.0,24.4,1013.0,94,1.54,210,True
18,25.63,25.63,25.63,1010.0,89,4.68,104,True
20,25.61,25.61,25.61,1006.0,90,1.76,115,True
20,26.1,26.1,26.1,1006.0,85,1.36,124,True
6,28.0,28.0,28.0,1004.0,83,5.0,240,True
23,25.0,25.0,25.0,1008.1,94,2.1,260,True
19,26.0,26.0,26.0,1008.1,83,3.1,120,True
0,24.2,24.2,24.2,1010.2,95,4.1,300,True
12,27.0,27.0,27.0,1005.8,81,9.3,280,True
11,25.03,25.03,25.03,1012.0,88,4.34,116,True
5,25.6,25.6,25.6,1006.1,94,2.6,300,True
17,26.58,26.58,26.58,1013.0,84,6.86,111,True
4,26.0,26.0,26.0,1008.1,94,4.1,340,True
3,28.2,28.0,28.4,1009.3,77,5.1,260,True
22,26.6,26.6,26.6,1012.6,83,3.1,120,True
20,25.0,25.0,25.0,1010.0,94,1.5,110,True
20,25.81,25.81,25.81,1012.0,87,0.28,271,True
0,26.8,26.8,26.8,1009.6,90,3.6,340,True
23,26.28,26.28,26.28,1012.0,82,1.14,296,True
23,26.3,25.6,27.0,1009.5,85,1.43,95,True
12,25.94,25.94,25.94,1009.0,86,2.22,284,True
7,27.18,27.0,27.3,1005.1,94,9.8,290,True
17,25.88,25.88,25.88,1011.0,83,7.13,96,True
11,26.16,26.16,26.16,1007.0,86,7.15,272,True
22,26.79,26.0,27.3,1006.1,88,5.1,260,True
1,25.79,25.0,27.1,1012.0,94,1.03,0,True
0,25.75,25.75,25.75,1010.0,85,7.76,107,True
8,28.94,28.9,29.0,1008.0,79,4.1,270,True
17,25.13,25.13,25.13,1013.0,83,4.18,120,True
1,25.81,25.5,26.0,1010.0,89,1.54,10,True
5,26.79,26.0,27.3,1007.1,88,9.3,280,True
1,26.05,26.05,26.05,1009.0,89,6.02,265,True
0,26.2,26.2,26.2,1007.2,91,9.8,270,True
12,27.8,27.6,28.0,1012.0,78,6.7,290,True
1,27.4,27.4,27.4,1011.1,82,2.1,10,True
3,25.85,25.85,25.85,1014.0,88,1.24,160,True
21,26.97,26.97,26.97,1011.0,77,5.88,249,True
19,25.5,25.5,25.5,1009.4,86,2.1,330,True
9,27.16,27.16,27.16,1010.0,83,1.0,321,True
22,26.0,26.0,26.0,1010.2,73,5.65,102,True
19,25.81,25.5,26.0,1009.0,88,2.6,310,True
20,25.99,25.99,25.99,1009.0,87,5.5,264,True
18,25.81,25.81,25.81,1010.0,85,1.23,97,True
13,27.3,27.0,27.8,1008.0,79,3.6,60,True
11,25.27,24.8,26.0,1007.1,88,1.0,10,True
17,24.5,24.5,24.5,1007.4,98,1.5,240,True
16,26.39,26.39,26.39,1014.0,89,7.08,107,True
11,25.85,25.6,26.0,1008.0,88,6.2,300,True
9,26.76,26.76,26.76,1006.0,80,6.69,254,True
20,25.7,25.2,26.0,1010.0,88,3.1,360,True
11,26.26,26.26,26.26,1005.0,90,4.45,269,True
17,26.12,26.12,26.12,1011.0,79,5.74,124,True
14,27.09,26.5,28.0,1009.1,83,3.6,270,True
21,24.8,24.6,25.0,1008.0,88,5.1,330,True
0,24.6,24.6,24.6,1011.9,96,6.29,271,True
4,24.84,24.4,25.0,1009.0,94,2.6,300,True
23,26.47,26.47,26.47,1009.0,84,2.05,115,True
11,26.89,26.89,26.89,1011.0,84,7.51,116,True
16,24.9,24.9,24.9,1013.0,85,7.61,128,True
23,25.01,25.01,25.01,1010.0,91,2.86,129,True
16,27.74,27.3,28.0,1007.0,78,2.0,300,True
10,29.96,29.9,30.0,1007.0,75,1.03,0,True
15,26.4,26.4,26.4,1009.1,84,2.6,270,True
22,25.72,25.72,25.72,1010.0,88,1.27,313,True
21,25.49,25.49,25.49,1010.0,91,4.57,284,True
20,26.42,26.42,26.42,1009.0,90,4.39,99,True
22,23.89,23.8,24.0,1006.1,94,3.78,260,True
13,26.73,26.0,27.2,1010.0,88,2.6,230,True
12,24.4,24.4,24.4,1007.8,93,3.6,10,True
19,24.52,24.52,24.52,1013.0,90,4.19,107,True
18,25.0,25.0,25.0,1004.9,96,1.5,40,True
10,28.4,28.4,28.4,1006.6,76,5.1,270,True
23,25.84,25.84,25.84,1010.0,90,6.94,111,True
18,26.1,26.0,26.2,1009.5,90,3.1,300,True
0,25.58,25.58,25.58,1015.0,82,3.74,129,True
21,25.87,25.87,25.87,1007.0,90,6.65,273,True
2,26.18,26.18,26.18,1013.0,85,0.27,177,True
0,26.37,26.37,26.37,1013.0,90,4.16,108,True
5,29.77,29.4,30.0,1009.0,79,9.77,270,True
5,28.77,28.4,29.0,1009.0,83,4.6,260,True
12,28.0,28.0,28.0,1009.0,84,2.06,240,True
22,26.48,26.0,26.8,1007.1,83,2.1,120,True
21,24.6,24.6,24.6,1007.0,96,1.0,90,True
23,24.43,24.43,24.43,1014.0,81,4.54,119,True
7,31.2,31.2,31.2,1010.1,58,4.1,250,True
22,25.0,25.0,25.0,1010.3,96,2.94,278,True
7,26.79,26.79,26.79,1010.0,84,5.13,155,True
17,25.17,25.17,25.17,1012.0,84,4.5,120,True
18,25.75,25.5,26.0,1008.9,94,1.68,180,True
5,30.18,30.0,30.3,1008.1,74,4.1,230,True
0,26.0,26.0,26.0,1009.0,84,3.09,310,True
8,28.03,27.0,28.7,1009.0,94,3.6,260,True
13,26.59,26.59,26.59,1008.0,88,6.53,283,True
1,25.0,25.0,25.0,1011.9,94,3.6,150,True
19,24.8,24.8,24.8,1006.0,91,4.1,300,True
3,28.03,28.0,28.1,1009.0,84,3.6,290,True
10,24.88,24.8,25.0,1007.1,88,6.2,250,True
3,26.47,26.0,27.0,1006.0,78,2.0,310,True
9,24.8,24.6,25.0,1004.7,93,5.1,340,True
14,25.0,25.0,25.0,1006.1,94,9.8,270,True
4,28.04,28.0,28.1,1009.0,84,3.6,310,True
17,26.23,26.23,26.23,1007.0,86,6.26,285,True
9,27.87,27.6,28.0,1010.0,78,2.6,360,True
22,26.88,26.8,27.0,1010.8,83,6.2,120,True
16,24.3,24.3,24.3,1015.0,84,4.2,115,True
5,26.61,26.61,26.61,1010.0,88,6.15,134,True
9,27.8,27.8,27.8,1008.0,84,1.56,149,True
14,26.83,26.83,26.83,1013.0,84,2.62,259,True
4,24.69,24.69,24.69,1014.0,86,6.55,128,True
1,26.2,26.2,26.2,1011.0,91,2.6,110,True
15,25.7,25.7,25.7,1012.5,90,1.42,303,True
4,31.0,31.0,31.0,1010.2,70,5.1,290,True
9,26.35,26.35,26.35,1008.0,81,7.23,126,True
3,24.0,24.0,24.0,1008.1,100,1.5,210,True
1,25.92,25.92,25.92,1010.0,88,4.63,261,True
18,24.6,24.6,24.6,1008.1,91,1.52,67,True
23,26.24,26.24,26.24,1010.0,86,4.04,102,True
12,27.95,27.9,28.0,1008.0,88,0.5,0,True
13,27.52,27.2,28.0,1008.1,74,10.3,270,True
15,24.05,24.0,24.1,1009.4,93,3.1,260,True
17,25.61,25.61,25.61,1010.0,88,3.95,288,True
21,25.67,25.67,25.67,1011.0,88,0.75,228,True
1,27.3,27.0,27.5,1009.0,88,1.5,260,True
15,26.8,26.8,26.8,1007.8,90,2.1,270,True
17,23.4,23.4,23.4,1008.9,96,2.82,343,True
21,26.07,26.07,26.07,1008.0,86,6.81,295,True
23,25.97,25.3,27.0,1010.0,88,0.5,0,True
1,24.7,24.7,24.7,1009.1,95,2.6,120,True
17,25.9,25.9,25.9,1011.0,90,0.33,284,True
23,25.3,25.0,25.5,1010.2,94,2.15,134,True
11,26.39,26.39,26.39,1008.0,87,1.43,50,True
3,25.77,25.77,25.77,1013.0,82,5.53,113,True
21,26.18,26.18,26.18,1007.0,90,6.57,279,True
0,25.76,25.76,25.76,1009.0,88,2.57,98,True
4,27.37,27.0,28.0,1008.0,78,6.0,290,True
17,25.1,25.1,25.1,1010.0,91,4.26,118,True
16,25.46,25.46,25.46,1012.0,91,2.31,141,True
8,27.56,27.56,27.56,1007.0,81,9.36,270,True
6,29.9,29.8,30.0,1006.8,78,3.6,270,True
0,26.1,26.0,26.3,1008.1,94,1.0,200,True
9,26.35,26.35,26.35,1011.0,84,4.16,251,True
21,26.1,26.0,26.3,1007.0,84,9.77,280,True
18,24.9,24.8,25.0,1011.7,89,6.95,100,True
21,24.9,24.7,25.0,1012.0,83,2.06,100,True
20,24.12,24.0,24.2,1007.1,94,3.66,126,True
1,28.7,28.5,29.0,1009.1,74,2.6,260,True
20,25.2,25.2,25.2,1011.9,98,4.1,250,True
10,29.96,29.9,30.0,1007.0,79,2.1,270,True
0,26.31,26.31,26.31,1012.0,88,4.06,102,True
18,26.63,26.63,26.63,1010.0,82,4.05,278,True
15,25.6,25.6,25.6,1008.1,94,3.6,270,True
9,28.17,28.17,28.17,1009.0,82,2.26,110,True
17,25.52,25.2,26.0,1010.2,88,1.0,230,True
7,29.15,29.0,29.4,1004.0,79,3.09,260,True
10,25.91,25.91,25.91,1008.0,88,2.43,274,True
18,24.83,24.5,25.0,1010.0,94,0.51,0,True
2,25.85,25.85,25.85,1012.0,87,2.36,230,True
18,25.38,25.38,25.38,1012.0,83,5.21,106,True
21,27.03,27.03,27.03,1008.0,85,7.19,285,True
19,25.66,25.66,25.66,1011.0,89,3.07,100,True
0,24.6,24.2,25.0,1012.9,83,4.1,120,True
7,27.5,27.5,27.5,1006.5,87,3.1,280,True
1,25.27,24.8,26.0,1011.9,88,3.12,106,True
22,25.88,25.8,26.0,1011.0,94,2.6,90,True
8,28.0,28.0,28.0,1006.1,88,2.1,270,True
19,27.04,27.0,27.1,1008.0,89,2.06,350,True
14,26.57,26.57,26.57,1010.0,86,2.7,106,True
18,25.57,25.0,26.0,1004.0,94,1.0,70,True
21,27.35,27.35,27.35,1008.0,83,6.58,270,True
23,24.4,24.4,24.4,1013.0,88,6.49,112,True
3,26.8,26.8,26.8,1011.0,85,4.41,114,True
15,25.65,25.3,26.0,1007.0,99,4.85,293,True
12,25.34,25.34,25.34,1011.0,90,1.72,191,True
11,25.63,25.63,25.63,1011.0,88,3.7,118,True
8,28.67,28.0,29.1,1008.0,83,3.1,320,True
15,24.35,24.35,24.35,1014.0,89,2.72,118,True
22,25.06,25.06,25.06,1009.0,91,0.51,198,True
2,26.53,26.53,26.53,1008.0,85,5.71,262,True
12,26.19,26.19,26.19,1009.0,87,7.47,272,True
19,26.0,26.0,26.0,1008.6,88,0.54,213,True
5,29.74,29.3,30.0,1010.0,75,7.2,270,True
21,25.0,25.0,25.0,1006.4,94,2.05,348,True
1,27.19,27.19,27.19,1010.0,87,2.29,104,True
3,27.0,27.0,27.0,1011.0,84,1.79,232,True
21,26.57,26.57,26.57,1009.0,86,5.01,107,True
22,26.28,25.1,27.0,1008.0,89,5.14,290,True
21,26.15,26.0,26.3,1009.8,92,2.1,360,True
0,23.75,23.5,24.0,1007.8,97,1.76,260,True
0,24.59,24.59,24.59,1013.0,85,6.69,108,True
20,25.04,25.04,25.04,1011.0,87,5.8,108,True
20,25.54,25.54,25.54,1011.0,83,4.91,121,True
8,27.79,27.0,28.3,1007.1,88,7.7,270,True
18,25.5,25.5,25.5,1012.0,84,7.38,114,True
9,27.33,27.33,27.33,1010.0,81,0.93,229,True
10,26.2,26.2,26.2,1009.1,84,3.6,280,True
20,25.6,25.6,25.6,1007.7,91,2.1,40,True
18,26.0,26.0,26.0,1009.6,91,2.6,300,True
17,23.8,23.6,24.0,1008.4,94,1.5,30,True
9,27.13,27.13,27.13,1009.0,84,2.8,263,True
21,25.21,25.21,25.21,1008.0,89,5.11,278,True
18,24.8,24.8,24.8,1012.0,90,0.85,125,True
6,25.92,25.92,25.92,1008.0,89,7.53,268,True
12,27.2,27.2,27.2,1010.2,92,2.6,110,True
21,26.0,26.0,26.0,1006.0,90,9.87,278,True
10,26.02,26.02,26.02,1009.0,90,5.57,275,True
3,24.9,24.8,25.0,1009.9,91,5.1,270,True
11,26.15,26.15,26.15,1012.0,84,1.57,327,True
22,25.0,25.0,25.0,1008.1,100,7.2,270,True
21,25.4,25.4,25.4,1008.4,96,3.1,120,True
17,25.3,24.2,27.0,1010.8,83,2.6,330,True
7,29.08,29.0,29.2,1007.0,79,4.63,260,True
12,27.28,27.28,27.28,1008.0,83,1.08,176,True
11,28.15,27.6,29.0,1007.0,79,6.7,260,True
15,26.3,26.3,26.3,1011.9,93,1.0,150,True
12,25.8,25.6,26.0,1006.1,88,3.6,20,True
2,27.34,27.0,27.9,1009.0,83,4.1,270,True
23,26.85,26.85,26.85,1010.0,91,3.95,91,True
23,27.0,27.0,27.0,1008.0,83,2.1,290,True
14,26.06,26.0,26.1,1009.1,94,9.35,282,True
18,26.77,26.77,26.77,1011.0,89,3.67,105,True
16,25.43,25.43,25.43,1009.0,91,2.92,260,True
19,25.03,25.03,25.03,1010.0,89,2.47,148,True
13,25.06,25.0,25.1,1008.1,88,2.6,340,True
19,26.51,26.51,26.51,1006.0,84,1.05,358,True
12,26.4,26.4,26.4,1008.1,93,1.04,199,True
20,24.82,24.82,24.82,1011.0,89,3.65,139,True
20,25.85,25.85,25.85,1012.0,88,5.2,101,True
23,25.47,25.47,25.47,1011.0,91,6.03,116,True
11,26.42,26.42,26.42,1011.0,85,1.82,284,True
23,25.52,25.52,25.52,1009.0,87,1.61,85,True
20,26.0,26.0,26.0,1008.0,88,2.6,330,True
20,25.6,25.6,25.6,1008.1,94,1.0,30,True
19,26.78,26.6,27.0,1006.0,88,1.39,95,True
16,25.09,25.09,25.09,1013.0,87,7.49,109,True
21,26.93,26.93,26.93,1006.0,86,5.18,318,True
0,26.54,26.54,26.54,1014.0,85,2.49,100,True
5,28.03,27.4,29.0,1010.2,79,6.2,290,True
14,25.64,25.4,26.0,1008.1,94,1.56,276,True
14,26.6,26.6,26.6,1014.2,92,1.99,293,True
0,25.43,24.3,27.0,1007.0,88,5.0,300,True
22,25.44,25.44,25.44,1011.0,89,6.65,104,True
21,26.72,26.72,26.72,1011.0,84,2.04,86,True
21,24.31,24.31,24.31,1013.0,80,9.33,110,True
15,28.4,28.4,28.4,1010.7,86,2.1,90,True
14,26.92,26.8,27.0,1011.0,89,0.51,0,True
20,24.24,24.0,24.4,1010.8,94,2.11,118,True
16,25.61,25.0,26.0,1010.2,94,4.6,340,True
15,26.51,26.51,26.51,1012.0,87,1.13,334,True
12,26.2,26.2,26.2,1010.2,89,1.84,130,True
11,25.6,25.6,25.6,1010.1,91,7.2,320,True
1,28.38,28.0,29.0,1011.0,84,7.2,290,True
1,25.82,25.7,26.0,1007.1,88,3.1,280,True
21,26.65,26.65,26.65,1010.0,87,5.91,109,True
8,25.64,25.64,25.64,1010.0,85,4.26,149,True
10,27.59,27.59,27.59,1010.0,82,3.02,120,True
21,25.1,25.1,25.1,1012.0,90,2.05,239,True
17,25.76,25.76,25.76,1010.0,90,3.13,81,True
22,26.04,26.04,26.04,1010.0,87,1.72,141,True
6,28.0,28.0,28.0,1008.1,88,1.5,220,True
4,27.54,27.0,27.9,1013.0,94,4.6,100,True
20,25.08,25.0,25.2,1010.0,100,2.6,50,True
15,26.17,26.0,26.5,1007.0,88,2.1,80,True
0,27.0,27.0,27.0,1009.0,88,2.6,320,True
8,28.96,28.9,29.0,1007.0,74,2.06,10,True
15,26.56,26.56,26.56,1008.0,88,5.99,287,True
8,27.26,27.26,27.26,1007.0,88,3.73,109,True
13,24.8,24.8,24.8,1012.8,96,1.69,110,True
20,25.96,25.9,26.0,1007.0,94,1.0,0,True
1,26.0,26.0,26.0,1010.2,94,2.1,40,True
14,25.39,25.39,25.39,1012.0,88,4.21,128,True
15,26.2,26.2,26.2,1008.1,89,6.2,270,True
3,27.63,26.9,28.0,1010.0,83,3.1,80,True
20,26.7,26.7,26.7,1006.6,88,6.2,300,True
8,26.48,26.48,26.48,1010.0,86,5.57,137,True
17,26.99,26.99,26.99,1011.0,86,2.22,98,True
21,27.3,27.3,27.3,1011.0,82,2.61,101,True
13,25.96,25.9,26.0,1012.0,88,3.1,70,True
2,24.4,24.4,24.4,1008.1,94,4.1,240,True
20,28.0,28.0,28.0,1012.7,74,5.1,120,True
22,25.96,25.9,26.0,1004.0,94,7.72,290,True
23,24.79,24.0,26.0,1012.0,88,3.89,96,True
23,24.6,24.6,24.6,1010.8,94,1.99,200,True
7,26.39,26.0,27.0,1008.1,88,5.1,300,True
8,24.77,24.4,25.0,1011.0,88,5.1,80,True
22,24.52,24.2,25.0,1010.2,94,5.1,270,True
21,26.39,26.39,26.39,1011.0,90,1.75,192,True
12,28.8,28.6,29.0,1006.5,74,1.5,180,True
19,25.08,25.0,25.2,1008.0,94,0.51,0,True
21,26.03,26.03,26.03,1008.0,86,1.11,331,True
21,25.18,25.18,25.18,1012.0,85,8.29,110,True
16,28.3,28.0,28.5,1008.0,83,6.7,290,True
13,26.92,26.8,27.0,1010.0,83,3.1,310,True
17,25.08,25.0,25.2,1008.0,94,2.57,80,True
16,25.18,25.0,25.3,1010.2,94,2.54,106,True
23,25.82,25.82,25.82,1010.0,90,4.55,103,True
16,26.0,26.0,26.0,1011.0,92,1.5,180,True
13,27.22,27.22,27.22,1012.0,87,3.07,114,True
17,25.4,25.4,25.4,1008.0,90,3.34,253,True
18,27.15,27.0,27.3,1007.1,94,2.6,90,True
14,26.0,26.0,26.0,1009.1,100,2.6,270,True
6,27.2,27.2,27.2,1005.1,84,3.16,281,True
12,25.25,25.0,25.5,1009.1,88,7.2,270,True
3,29.15,29.0,29.3,1010.6,75,5.1,260,True
5,23.24,23.0,23.4,1009.1,100,2.6,330,True
22,26.02,25.0,27.7,1008.0,94,7.2,260,True
18,26.0,26.0,26.0,1009.1,91,2.6,260,True
22,26.66,26.66,26.66,1004.0,85,5.85,293,True
21,25.2,25.0,25.4,1008.6,94,5.1,120,True
7,27.3,27.3,27.3,1012.0,85,2.74,166,True
19,25.52,25.52,25.52,1009.0,90,1.1,214,True
19,25.61,25.0,26.0,1010.8,100,4.6,70,True
10,27.0,27.0,27.0,1010.2,83,3.1,130,True
15,26.0,26.0,26.0,1009.7,88,6.2,300,True
10,26.0,26.0,26.0,1007.1,88,3.1,330,True
15,26.0,26.0,26.0,1006.1,82,9.3,260,True
2,25.8,25.8,25.8,1009.3,92,3.1,110,True
12,27.0,27.0,27.0,1007.1,87,7.7,330,True
23,25.89,25.7,26.0,1009.0,88,2.1,280,True
6,28.6,28.6,28.6,1007.8,80,3.6,270,True
23,25.58,25.58,25.58,1010.0,91,1.84,104,True
14,26.74,26.74,26.74,1010.0,86,3.09,126,True
20,26.92,26.8,27.0,1010.0,89,1.54,30,True
2,25.6,25.6,25.6,1008.7,91,6.2,280,True
19,25.67,25.67,25.67,1009.0,91,1.88,247,True
17,25.8,25.8,25.8,1012.4,89,1.5,130,True
21,25.78,25.78,25.78,1008.0,90,4.77,113,True
15,26.57,26.57,26.57,1011.0,87,7.76,269,True
13,25.0,25.0,25.0,1011.9,94,1.5,50,True
1,25.52,25.52,25.52,1011.0,88,3.07,266,True
23,27.5,27.5,27.5,1007.9,86,2.1,270,True
17,24.92,24.8,25.0,1011.0,100,4.6,340,True
16,25.96,25.96,25.96,1013.0,88,6.0,102,True
5,27.37,27.37,27.37,1008.0,78,0.9,269,True
15,26.39,26.39,26.39,1012.0,88,3.17,114,True
21,25.36,25.36,25.36,1011.0,85,6.46,119,True
7,26.82,26.82,26.82,1008.0,85,4.53,116,True
9,26.56,26.56,26.56,1011.0,85,3.38,119,True
5,30.36,30.0,30.6,1009.1,74,5.1,270,True
20,26.09,25.5,27.0,1009.0,83,1.0,0,True
0,25.87,25.6,26.0,1006.0,89,1.54,20,True
13,24.2,24.2,24.2,1011.3,76,1.5,190,True
17,27.51,26.7,28.0,1011.0,83,3.6,120,True
12,24.73,24.2,25.0,1009.0,94,5.66,280,True
17,26.5,26.5,26.5,1011.0,86,1.58,206,True
10,27.81,27.5,28.0,1007.0,88,1.5,250,True
1,26.28,26.28,26.28,1013.0,85,7.35,108,True
17,26.8,26.8,26.8,1010.0,87,6.12,115,True
18,25.37,25.37,25.37,1011.0,90,5.31,276,True
13,24.88,24.8,25.0,1010.2,100,4.1,300,True
10,27.76,27.0,28.2,1011.0,83,3.0,50,True
0,26.1,26.0,26.2,1008.1,88,7.2,290,True
21,25.8,25.8,25.8,1007.8,93,4.6,300,True
23,28.33,28.0,29.0,1008.1,78,3.6,120,True
6,28.13,28.13,28.13,1010.0,83,2.91,144,True
1,26.0,26.0,26.0,1010.2,100,2.6,90,True
23,24.99,24.99,24.99,1012.0,83,6.08,106,True
15,26.3,26.0,26.6,1010.1,86,5.1,290,True
15,23.6,23.6,23.6,1012.6,98,3.93,270,True
1,27.56,26.0,29.0,1010.0,79,3.59,108,True
14,27.6,27.6,27.6,1011.0,86,3.62,92,True
11,27.06,27.06,27.06,1007.0,86,2.77,91,True
17,25.51,25.51,25.51,1012.0,86,6.86,116,True
23,26.58,26.58,26.58,1011.0,88,3.0,285,True
21,24.92,24.92,24.92,1012.0,81,6.88,121,True
13,24.6,24.6,24.6,1009.8,96,3.13,290,True
16,27.8,27.8,27.8,1010.8,82,3.1,280,True
18,26.17,26.0,26.5,1007.0,94,4.1,320,True
22,26.24,26.24,26.24,1013.0,82,8.34,100,True
0,26.39,26.39,26.39,1011.0,84,2.7,103,True
9,27.6,27.6,27.6,1008.1,80,3.6,260,True
20,27.73,27.73,27.73,1005.0,78,5.85,307,True
19,25.46,25.46,25.46,1009.0,89,1.52,280,True
18,25.6,25.6,25.6,1009.3,93,4.87,290,True
18,25.16,25.16,25.16,1012.0,90,2.51,101,True
17,25.41,25.41,25.41,1012.0,86,2.68,129,True
18,26.17,26.17,26.17,1009.0,90,1.79,234,True
23,26.88,26.8,27.0,1008.1,83,4.6,280,True
10,25.06,25.0,25.1,1008.1,94,1.5,50,True
19,26.0,26.0,26.0,1009.0,90,7.03,279,True
6,26.4,26.4,26.4,1009.0,84,2.5,199,True
22,27.0,27.0,27.0,1007.5,85,6.2,290,True
17,26.94,26.9,27.0,1008.0,88,5.7,270,True
8,26.77,26.77,26.77,1008.0,87,1.47,207,True
1,26.0,26.0,26.0,1009.1,88,4.1,100,True
17,25.97,25.97,25.97,1012.0,87,4.16,112,True
21,25.85,25.85,25.85,1009.0,85,0.9,71,True
22,24.5,24.5,24.5,1008.7,91,1.98,101,True
0,25.64,25.64,25.64,1010.0,90,3.51,106,True
11,27.33,27.33,27.33,1009.0,86,3.61,126,True
0,23.9,23.8,24.0,1010.2,94,5.1,260,True
18,25.22,25.22,25.22,1009.0,91,1.12,23,True
16,26.4,26.4,26.4,1010.6,83,1.5,140,True
16,25.67,25.67,25.67,1013.0,90,4.18,91,True
1,26.2,26.2,26.2,1008.1,91,1.5,10,True
10,26.0,26.0,26.0,1008.1,94,1.42,314,True
23,27.0,27.0,27.0,1010.8,88,3.1,100,True
14,25.9,25.9,25.9,1011.0,87,1.16,21,True
21,26.8,26.8,26.8,1007.0,85,3.7,309,True
14,25.71,25.71,25.71,1011.0,88,2.83,102,True
11,26.79,26.79,26.79,1010.0,85,5.01,135,True
14,25.0,25.0,25.0,1010.2,94,2.6,340,True
17,26.24,26.24,26.24,1009.0,83,4.63,286,True
18,26.42,26.42,26.42,1009.0,87,1.32,99,True
4,29.43,28.4,31.0,1010.8,74,4.1,300,True
